SIGLA_PARTIDO,ANO_ELEICAO,UF,CODIGO_CARGO,QTDE_CANDIDATOS,QTDE_VOTOS,QTDE_ELEITOS
PCB,2014,AC,1,1,68,
PCB,2014,AL,1,1,892,
PCB,2014,AM,1,1,545,
PCB,2014,AP,1,1,162,
PCB,2014,BA,1,2,2891,
PCB,2014,CE,1,2,1833,
PCB,2014,DF,1,1,559,
PCB,2014,ES,1,2,726,
PCB,2014,GO,1,2,1258,
PCB,2014,MA,1,2,1152,
PCB,2014,MG,1,2,5470,
PCB,2014,MS,1,1,390,
PCB,2014,MT,1,1,529,
PCB,2014,PA,1,2,834,
PCB,2014,PB,1,1,796,
PCB,2014,PE,1,2,1720,
PCB,2014,PI,1,2,488,
PCB,2014,PR,1,2,2410,
PCB,2014,RJ,1,2,8560,
PCB,2014,RN,1,1,641,
PCB,2014,RO,1,1,208,
PCB,2014,RR,1,2,72,
PCB,2014,RS,1,2,2304,
PCB,2014,SC,1,2,1414,
PCB,2014,SE,1,1,764,
PCB,2014,SP,1,2,10672,
PCB,2014,TO,1,1,261,
PCB,2014,ZZ,1,38,261,
PCO,2014,AC,1,1,14,
PCO,2014,AL,1,1,125,
PCO,2014,AM,1,1,98,
PCO,2014,AP,1,1,21,
PCO,2014,BA,1,1,555,
PCO,2014,CE,1,1,342,
PCO,2014,DF,1,1,473,
PCO,2014,ES,1,1,215,
PCO,2014,GO,1,1,301,
PCO,2014,MA,1,1,158,
PCO,2014,MG,1,1,1489,
PCO,2014,MS,1,1,97,
PCO,2014,MT,1,1,101,
PCO,2014,PA,1,1,207,
PCO,2014,PB,1,1,247,
PCO,2014,PE,1,1,322,
PCO,2014,PI,1,1,151,
PCO,2014,PR,1,1,560,
PCO,2014,RJ,1,2,1451,
PCO,2014,RN,1,2,163,
PCO,2014,RO,1,1,63,
PCO,2014,RR,1,1,48,
PCO,2014,RS,1,1,505,
PCO,2014,SC,1,2,391,
PCO,2014,SE,1,1,142,
PCO,2014,SP,1,2,3974,
PCO,2014,TO,1,1,44,
PCO,2014,ZZ,1,16,73,
PRTB,2014,AC,1,2,640,
PRTB,2014,AL,1,2,7073,
PRTB,2014,AM,1,2,10264,
PRTB,2014,AP,1,2,1550,
PRTB,2014,BA,1,2,15339,
PRTB,2014,CE,1,2,15979,
